名称,品牌,商圈,商圈距离m,own_S,D,P,D×P,商圈中位D×P,uplift,低证据点,采用
蜜雪冰城(河坊街二店),蜜雪冰城,清河坊步行街,121,2.5,3.2,0.7922,2.535,2.16,,,
茶百道(杭州杨家墩店),茶百道,滨江啦喜街(杨家墩综合大楼店),34,1.8,5.0,1.0,5.0,5.0,,,
茶百道(湖墅潮王店),茶百道,潮王路地铁商业街,867,1.8,6.4,0.9887,6.328,3.564,,,
CoCo都可(河东店),CoCo,潮王路地铁商业街,655,1.8,0.8,1.0,0.8,3.564,,Y,
茶百道(杭州金沙印象城店),茶百道,杭州金沙印象城,38,1.8,2.8,0.8341,2.335,2.335,,Y,
周四晚·不止碰到茶(杭州国大城市广场店),周四晚,国大城市广场,29,1.6,6.2,0.759,4.706,4.706,,,
古茗(杭州上城三花国际),古茗,杭州德信中心商场,232,2.2,2.0,0.7228,1.446,3.923,,,
蜜雪冰城(武林夜市2店龙游路35号),蜜雪冰城,武林好吃街,20,2.5,5.8,0.6852,3.974,2.977,,,
1点点(杭州滨江宝龙城店),一点点,宝龙城,56,1.6,1.2,0.6098,0.732,0.9,,,
CoCo都可(龙湖杭州金沙天街店),CoCo,龙湖杭州金沙天街,45,1.8,3.0,0.5425,1.627,1.712,,,
茶百道(杭州新风店),茶百道,汇和城购物中心,177,1.8,3.0,1.0,3.0,3.0,,,
CoCo都可(宝龙店),CoCo,杭州下沙宝龙广场,162,1.8,4.4,0.7492,3.297,3.298,,,
茶百道(杭州下沙宝龙一期店),茶百道,杭州下沙宝龙广场,177,1.8,4.4,0.7501,3.3,3.298,,,
CoCo都可(银隆店),CoCo,汇德隆银隆B座,37,1.8,2.4,0.769,1.846,1.846,,,
CoCo都可(西湖银泰店),CoCo,银泰百货(杭州西湖店),35,1.8,6.8,0.5825,3.961,4.314,,,
茶百道(杭州天城路店),茶百道,天城商业中心,195,1.8,1.0,0.9867,0.987,0.987,,Y,
茶百道(滨江银泰店),茶百道,银泰百货A区,74,1.8,8.4,0.3405,2.86,2.724,,,
蜜雪冰城(上沙店),蜜雪冰城,晓城天地-4幢户外商业街,241,2.5,4.6,0.9143,4.206,3.287,,,
蜜雪冰城(拱墅万达广场店),蜜雪冰城,万达广场(杭州拱墅店),80,2.5,3.8,0.9763,3.71,3.71,,,
茶百道(杭州临平万达店),茶百道,万达广场(杭州临平店),123,1.8,1.0,0.9781,0.978,0.978,,Y,
古茗(余杭通运店),古茗,MOMALL(杭行荟店),837,2.2,0.0,1.0,0.0,0.0,,Y,
蜜雪冰城(杭州五联店),蜜雪冰城,米兰街(金田花园店),319,2.5,3.4,1.0,3.4,3.4,,,
茶百道(杭州莲花街店),茶百道,浙商水下商业街(浙商财富中心2号楼店),63,1.8,4.4,0.9212,4.053,4.053,,,
古茗(临平银泰负一楼店),古茗,杭州临平银泰城,105,2.2,4.4,0.9962,4.383,4.383,,,
CoCo都可(欧美广场),CoCo,EFC LIVE欧美广场商业A区,33,1.8,66.4,0.3849,25.554,23.185,,,
麦记牛奶(金沙天街店),麦记牛奶,龙湖杭州金沙天街,14,1.4,3.8,0.4505,1.712,1.712,,,
古茗(鄞州北明程路店),古茗,甬耀食品商场(东部店),394,2.2,12.2,0.6989,8.527,8.527,1.0,,Y
喜茶(宁波东银泰城店),喜茶,宁波东银泰城,107,2.0,6.6,0.6484,4.279,2.579,1.6589,,Y
CHAGEE霸王茶姬(浙江宁波鄞州东部银泰城店),霸王茶姬,宁波东银泰城,129,2.0,2.6,0.7688,1.999,2.579,0.7749,,Y
1点点(锦绣东城店),一点点,甬耀食品商场(东部店),388,1.6,11.4,0.416,4.742,8.527,0.5562,,Y
蜜雪冰城(锦绣东城店),蜜雪冰城,甬耀食品商场(东部店),399,2.5,11.4,0.604,6.886,8.527,0.8076,,Y
古茗(鄞州文化广场店),古茗,宁波阪急,456,2.2,14.8,0.657,9.723,6.047,,,
春莱奶茶(东部新城店),春莱,甬耀食品商场(东部店),291,1.4,17.8,0.9008,16.035,8.527,1.8805,,Y
蜜雪冰城(东部银泰城店),蜜雪冰城,宁波东银泰城,75,2.5,3.4,0.7587,2.579,2.579,1.0,,Y
古茗(鄞州东部银泰城店),古茗,宁波东银泰城,102,2.2,2.6,0.7379,1.918,2.579,0.7437,,Y
霸王茶姬(浙江宁波鄞州宏泰广场店),霸王茶姬,宏泰广场购物中心,126,2.0,8.6,0.4156,3.574,2.351,1.5201,,Y
LELECHA乐乐茶(宁波阪急店),乐乐茶,宁波阪急,75,1.6,11.8,0.5124,6.047,6.047,,,
LINLEE·手打柠檬茶(宏泰广场店),LINLEE,宏泰广场购物中心,109,1.5,8.6,0.307,2.64,2.351,1.1228,,Y
CHAGEE霸王茶姬(浙江宁波鄞州华章华骏中心店),霸王茶姬,甬耀食品商场(东部店),151,2.0,12.8,0.9639,12.338,8.527,1.447,,Y
CoCo都可(宏泰店),CoCo,宏泰广场购物中心,73,1.8,8.0,0.2939,2.351,2.351,1.0,,Y
茉莉奶白(宏泰广场店),茉莉奶白,宏泰广场购物中心,39,1.5,8.0,0.3029,2.423,2.351,1.0304,,Y
1点点(宏泰广场店),一点点,宏泰广场购物中心,5,1.6,7.2,0.2993,2.155,2.351,0.9165,,Y
古茗(鄞州东部银泰城店),古茗,宁波东银泰城,83,2.2,8.2,0.7335,6.015,2.579,2.3319,,Y
爷爷不泡茶NOYEYENOTEA(宁波鄞州宏泰广场店),爷爷不泡茶,宏泰广场购物中心,55,2.0,8.0,0.2744,2.195,2.351,0.9337,,Y
瑞幸咖啡(招商银行大楼店),瑞幸,甬南食品商场(钱业店),138,2.2,10.2,0.8173,8.336,9.3,,,
沪上阿姨·精选茶饮(宁波鄞州宏泰广场店),沪上阿姨,宏泰广场购物中心,47,1.8,8.8,0.2564,2.257,2.351,0.9597,,Y
1点点(鼎泰店),一点点,甬南食品商场(钱业店),43,1.6,12.6,0.7731,9.741,9.3,,,
古茗(鄞州宏泰广场店),古茗,宏泰广场,121,2.2,7.2,0.5882,4.235,4.235,,,
泰柯茶园,Tamkoko泰柯茶园,宏泰广场购物中心,42,1.2,8.0,0.2504,2.004,2.351,0.8521,,Y
茉酸奶(宏泰广场店),茉酸奶,宏泰广场购物中心,68,1.6,10.4,0.3555,3.697,2.351,1.5723,,Y
瑞幸咖啡(国华松下街店),瑞幸,宏泰广场购物中心,477,2.2,11.4,0.9315,10.619,2.351,4.5159,,Y
古茗(鄞州国金店),古茗,甬南食品商场(钱业店),190,2.2,11.0,0.8455,9.3,9.3,,,
蜜雪冰城(保利印江南店),蜜雪冰城,保利悠悦汇,121,2.5,8.2,0.8671,7.11,7.062,,,
luckin coffee 瑞幸咖啡(宁波富邦中心店),瑞幸,NFCC宁波时尚创意中心,381,2.2,7.4,0.9851,7.29,7.29,,,
luckin coffee 瑞幸咖啡(保利·印江南店),瑞幸,保利悠悦汇,61,2.2,9.0,0.7794,7.015,7.062,,,
古茗(鄞州金东岸店),古茗,幸福里主题商业街区,664,2.2,3.2,0.7751,2.48,5.901,,,
茉酸奶( 宁波阪急百货店 ),茉酸奶,宁波阪急,51,1.6,11.6,0.4799,5.567,6.047,,,
爷爷不泡茶NOYEYENOTEA(宁波高新宝龙店),爷爷不泡茶,高新宝龙广场,35,2.0,8.2,0.3457,2.835,3.214,0.882,,Y
古茗(鄞州高新宝龙店),古茗,高新宝龙广场,90,2.2,8.2,0.3919,3.214,3.214,1.0,,Y
LELECHA乐乐茶(高新宝龙店),乐乐茶,高新宝龙广场,64,1.6,8.2,0.2213,1.815,3.214,0.5648,,Y
沪上阿姨·精选茶饮(宁波高新宝龙广场店),沪上阿姨,高新宝龙广场,57,1.8,8.2,0.242,1.984,3.214,0.6174,,Y
Tamkoko泰柯茶园(宁波高新宝龙店),Tamkoko泰柯茶园,高新宝龙广场,68,1.2,8.2,0.1878,1.54,3.214,0.4792,,Y
蜜雪冰城(高新宝龙广场店),蜜雪冰城,高新宝龙广场,46,2.5,9.0,0.5513,4.961,3.214,1.5438,,Y
喜茶(宁波鄞州乐橙荟店),喜茶,乐橙荟,94,2.0,9.8,0.4461,4.372,3.603,1.2132,,Y
茶百道(宁波高新宝龙广场店),茶百道,高新宝龙广场,74,1.8,9.0,0.4476,4.028,3.214,1.2535,,Y
爷爷不泡茶NOYEYENOTEA(宁波世纪东方店),爷爷不泡茶,银泰百货(宁波江东店),9,2.0,6.0,0.6196,3.718,3.718,,,
霸王茶姬(浙江宁波鄞州乐橙广场店),霸王茶姬,乐橙荟,72,2.0,9.8,0.3254,3.189,3.603,0.885,,Y
古茗(藏珑店),古茗,高新宝龙广场,745,2.2,5.6,0.9686,5.424,3.214,1.6878,,Y
爷爷不泡茶NOYEYENOTEA(宁波鄞州乐橙荟店),爷爷不泡茶,乐橙荟,72,2.0,9.8,0.3175,3.111,3.603,0.8634,,Y
CoCo都可(世纪东方店),CoCo,世纪东方广场,67,1.8,5.2,0.5073,2.638,2.638,1.0,,Y
luckin coffee 瑞幸咖啡(乐橙荟店),瑞幸,乐橙荟,71,2.2,9.8,0.3852,3.775,3.603,1.0477,,Y
沪上阿姨·精选茶饮(宁波乐橙荟店),沪上阿姨,乐橙荟,43,1.8,9.8,0.4426,4.337,3.603,1.2037,,Y
LINLEE·手打柠檬茶(乐橙荟店),LINLEE,乐橙荟,17,1.5,9.8,0.4674,4.58,3.603,1.2711,,Y
7分甜(宁波鄞州世纪东方店),7分甜,世纪东方广场,34,1.5,6.0,0.3413,2.048,2.638,0.7763,,Y
CHAGEE霸王茶姬(宁波鄞州世纪东方广场店),霸王茶姬,世纪东方广场,61,2.0,6.0,0.4768,2.861,2.638,1.0843,,Y
茶百道(世纪东方店),茶百道,世纪东方广场,46,1.8,6.0,0.3704,2.222,2.638,0.8424,,Y
luckin coffee 瑞幸咖啡(世纪东方广场店),瑞幸,世纪东方广场,33,2.2,6.0,0.4241,2.545,2.638,0.9646,,Y
CoCo都可(扬帆店),CoCo,高新宝龙广场,762,1.8,5.6,0.8099,4.535,3.214,1.4113,,Y
蜜雪冰城(福明路华光城店),蜜雪冰城,瑞市明凤商场,331,2.5,3.0,0.7101,2.13,3.344,0.6371,,Y
茶百道(宁波鄞州宏泰广场店),茶百道,幸福里主题商业街区,951,1.8,11.2,0.8323,9.321,5.901,,,
瑞幸咖啡(上东商务中心2号楼店),瑞幸,瑞市明凤商场,480,2.2,5.0,1.0,5.0,3.344,1.4953,,Y
古茗(鄞州华光城店),古茗,世纪东方广场,304,2.2,4.6,0.7486,3.444,2.638,1.3053,,Y
瑞幸咖啡(银晨国际商务中心店),瑞幸,泰富广场,518,2.2,4.0,1.0,4.0,2.053,,,
1点点(宁波研发园店),一点点,高新宝龙广场,882,1.6,2.4,0.8368,2.008,3.214,,Y,
茶百道(宏泰广场店)(暂停营业),茶百道,宏泰广场购物中心,53,1.8,8.0,0.2633,2.106,2.351,0.8957,,Y
LINLEE·手打柠檬茶(高新宝龙广场店)(暂停营业),LINLEE,高新宝龙广场,64,1.5,8.2,0.4458,3.656,3.214,1.1375,,Y
古茗(鄞州颐景园店),古茗,乐橙荟,620,2.2,5.6,0.5506,3.083,3.603,0.8557,,Y
蜜雪冰城(潘火路颐景园二期店),蜜雪冰城,乐橙荟,625,2.5,5.6,0.6127,3.431,3.603,0.9523,,Y
益禾堂(宁波鄞州华光城店),益禾堂,瑞市明凤商场,290,1.7,3.0,0.5945,1.783,3.344,0.5333,,Y
古茗(鄞州潘火街道店),古茗,方圆中心,192,2.2,6.6,0.9064,5.982,5.747,,,
古茗(鄞州港隆广场店),古茗,港隆广场,30,2.2,6.8,0.6183,4.204,4.204,,,
蜜雪冰城(泰富广场店),蜜雪冰城,泰富广场,189,2.5,3.4,0.7828,2.662,2.053,,,
古茗(百丈东路东柳店),古茗,瑞市明凤商场,465,2.2,4.2,0.9495,3.988,3.344,1.1925,,Y
蜜雪冰城(港隆广场内9号楼124号),蜜雪冰城,港隆广场,44,2.5,6.8,0.7446,5.063,4.204,,,
古茗(安居幸福苑2期店),古茗,泰富广场,241,2.2,2.6,0.5556,1.444,2.053,,,
喜茶(宁波鄞州龙湖店),喜茶,龙湖宁波鄞州天街,77,2.0,2.6,0.3839,0.998,1.081,0.9235,,Y
茶百道(宁波鄞州龙湖天曜城店),茶百道,龙湖宁波鄞州天街,44,1.8,3.4,0.3192,1.085,1.081,1.004,,Y
1点点(港隆广场店),一点点,港隆广场,56,1.6,6.8,0.525,3.57,4.204,,,
茉酸奶(龙湖宁波鄞州天街店),茉酸奶,龙湖宁波鄞州天街,65,1.6,3.4,0.1948,0.662,1.081,0.6127,,Y
luckin coffee 瑞幸咖啡(恒富大厦店),瑞幸,瑞市明凤商场,113,2.2,3.4,0.8975,3.052,3.344,0.9126,,Y
沪上阿姨·精选茶饮(宁波鄞州泰富广场店),沪上阿姨,泰富广场,261,1.8,2.6,0.5325,1.385,2.053,,,
1点点(方圆中心店),一点点,方圆中心,49,1.6,6.6,0.8938,5.899,5.747,,,
1点点(东柳店),一点点,瑞市明凤商场,243,1.6,4.2,0.8658,3.636,3.344,1.0874,,Y
古茗(鄞州智慧园店),古茗,迪信通E10广场,95,2.2,1.8,0.6659,1.199,1.805,,,
古茗(鄞州天街负一楼店),古茗,龙湖宁波鄞州天街,62,2.2,3.4,0.3179,1.081,1.081,1.0,,Y
宝圆圆现炒珍珠奶茶(鄞州龙湖天街店),宝圆圆,龙湖宁波鄞州天街,82,1.3,3.4,0.1896,0.645,1.081,0.5965,,Y
CoCo都可(龙湖宁波鄞州天街店),CoCo,龙湖宁波鄞州天街,57,1.8,4.2,0.3489,1.465,1.081,1.356,,Y
古茗(鄞州世纪东方店),古茗,世纪东方广场,44,2.2,6.8,0.4845,3.294,2.638,1.2487,,Y
古茗(鄞州世纪东方店),古茗,天伦时代广场,128,2.2,5.2,0.876,4.555,4.555,,,
LINLEE林里·手打柠檬茶(鄞州龙湖天街店),LINLEE,龙湖宁波鄞州天街,48,1.5,3.4,0.2185,0.743,1.081,0.6873,,Y
1点点,一点点,龙湖宁波鄞州天街,60,1.6,3.4,0.3004,1.021,1.081,0.945,,Y
蜜雪冰城(童王菜场店),蜜雪冰城,方圆中心,232,2.5,2.6,0.9703,2.523,5.747,,Y,
luckin coffee 瑞幸咖啡(东方商务中心店),瑞幸,现代百货广场,342,2.2,5.8,0.9926,5.757,5.757,,,
蜜雪冰城(鄞州龙湖天街店),蜜雪冰城,龙湖宁波鄞州天街,62,2.5,3.4,0.3462,1.177,1.081,1.0892,,Y
