名称,品牌,商圈,商圈距离m,own_S,D,P,D×P,商圈中位D×P,uplift,低证据点,采用
古茗(诸暨万风新天地西一楼店),古茗,KKV(诸暨万风新天地购物中心主力店),21,2.2,4.0,0.5498,2.199,2.346,,,
古茗(上虞舜杰路店),古茗,绍兴上虞上百万悦城,831,2.2,0.0,0.8214,0.0,0.0,,Y,
古茗(越城解放南路),古茗,城南购物中心(越兰大厦店),90,2.2,4.2,0.991,4.162,4.162,,,
茶百道(金帝星隆城店),茶百道,金帝柯桥星隆城,68,1.8,1.4,0.8642,1.21,1.21,,Y,
古茗(新昌鼓山中路店),古茗,新昌馆特产商场绍兴市祥和农业开发有限公司,172,2.2,1.8,1.0,1.8,1.8,,Y,
古茗(诸暨暨阳路店),古茗,奥莱超吉仓(诸暨一百店),43,2.2,3.0,0.8641,2.592,2.592,,,
古茗奶茶(世贸店),古茗,世贸广场(新昌店),133,2.2,0.2,0.9784,0.196,0.196,,Y,
古茗(诸暨大唐商城北路店),古茗,盛唐中心广场,165,2.2,1.4,0.98,1.372,1.372,,Y,
古茗(诸暨暨阳北路店),古茗,振铭家电商场(永昌北路店),389,2.2,2.6,1.0,2.6,2.6,,Y,
古茗(柯桥中医院店),古茗,蓝天商业中心,705,2.2,2.4,1.0,2.4,5.018,,Y,
古茗(诸暨八一横路店),古茗,万风新世界,85,2.2,4.0,0.971,3.884,3.884,,,
CHAGEE霸王茶姬(浙江绍兴上虞万达店),霸王茶姬,万达广场(绍兴上虞店),67,2.0,7.4,0.7477,5.533,5.135,,,
沪上阿姨·精选茶饮(绍兴上虞舜杰路店),沪上阿姨,绍兴上虞上百万悦城,872,1.8,0.0,0.7549,0.0,0.0,,,
茶百道(轻纺店),茶百道,天汇广场,279,1.8,13.2,0.7261,9.584,10.062,,,
古茗(柯桥树人北门校外店),古茗,时代购物中心,606,2.2,0.0,1.0,0.0,0.0,,Y,
CoCo都可(上虞万和城店),CoCo,上百万和城,24,1.8,4.4,0.5475,2.409,2.409,,,
古茗(次坞上峰路店),古茗,恒昌商场,156,2.2,1.0,1.0,1.0,1.0,,Y,
古茗(上虞永兴路店),古茗,东关供销购物中心,118,2.2,2.6,1.0,2.6,2.6,,Y,
CoCo都可(嵊州吾悦店),CoCo,嵊州吾悦广场,59,1.8,2.6,0.8737,2.272,2.272,,Y,
古茗(诸暨宝龙负一楼店),古茗,诸暨宝龙广场,92,2.2,6.8,1.0,6.8,6.8,,,
茶百道(绍兴蓝天商业中心店),茶百道,蓝天商业中心,64,1.8,8.6,0.888,7.636,5.018,,,
蜜雪冰城(柯桥万达金街二店),蜜雪冰城,步行街百货(绍兴柯桥万达广场店),161,2.5,6.8,0.3876,2.636,2.092,1.2601,,Y
古茗(上虞万达店),古茗,万达广场(绍兴上虞店),43,2.2,5.8,0.8167,4.737,5.135,,,
麦记牛奶(上虞上百万和城店),麦记牛奶,上百万和城,0,1.4,4.4,0.4668,2.054,2.409,,,
古茗(诸暨万风盒马西负一店),古茗,万风新天地东楼,63,2.2,4.8,0.8242,3.956,3.956,,,
古茗(诸暨福田花园店),古茗,一百城东商业广场,160,2.2,1.4,1.0,1.4,1.4,,Y,
古茗(越城沥海海东路店),古茗,左轮轻奢鞋帽服饰商城,70,2.2,0.8,0.8831,0.706,0.706,,Y,
古茗(诸暨大唐永新店),古茗,永新广场,52,2.2,2.6,1.0,2.6,2.6,,Y,
古茗(柯桥宝龙广场店),古茗,绍兴柯桥宝龙广场,91,2.2,9.8,0.8816,8.64,8.64,,,
古茗(柯桥镜海大道店),古茗,万客隆购物广场(滨海商业中心店),782,2.2,1.6,1.0,1.6,3.0,,Y,
古茗(山下湖商业广场),古茗,珠宝城商业广场,23,2.2,1.4,1.0,1.4,1.4,,Y,
古茗(嵊州四海路店),古茗,苏杭鞋服商场(嵊州店),143,2.2,3.0,0.9953,2.986,2.986,,,
古茗(诸暨万达店),古茗,万达广场(诸暨店),133,2.2,5.0,0.9866,4.933,4.933,,,
古茗(柯桥万达金街二店),古茗,步行街百货(绍兴柯桥万达广场店),127,2.2,6.0,0.4203,2.522,2.092,1.2058,,Y
古茗(新昌兔毛西镇店),古茗,恒杰·檀香国际商业街,173,2.2,1.8,1.0,1.8,1.8,,Y,
古茗(诸暨健民路店),古茗,万塘汇潮生活广场,971,2.2,1.6,1.0,1.6,1.6,,Y,
茶百道(绍兴万达店),茶百道,步行街百货(绍兴柯桥万达广场店),162,1.8,6.8,0.285,1.938,2.092,0.9266,,Y
麦记牛奶(万风新天地店),麦记牛奶,诸暨万风新天地西楼,26,1.4,4.0,0.626,2.504,2.504,,,
蜜雪冰城(新昌万达2号门店),蜜雪冰城,来星百汇商城,121,2.5,4.4,0.7148,3.145,2.824,,,
蜜雪冰城(平水店),蜜雪冰城,好又多生活购物广场,377,2.5,1.0,0.9901,0.99,0.594,,Y,
喜茶(绍兴越城沥海店),喜茶,滨海购物中心,44,2.0,0.8,0.8619,0.69,0.69,,Y,
茶百道(新昌海洋城店),茶百道,来星百汇商城,111,1.8,4.4,0.5689,2.503,2.824,,,
蜜雪冰城(万风广场西楼店),蜜雪冰城,KKV(诸暨万风新天地购物中心主力店),48,2.5,4.0,0.6232,2.493,2.346,,,
蜜雪冰城(柯桥古镇笛扬商苑店),蜜雪冰城,锦麟天地购物中心(笛扬路步行街店),255,2.5,2.4,0.739,1.774,1.472,,,
爷爷不泡茶NOYEYENOTEA(金华世贸广场店),爷爷不泡茶,金华世贸城市广场,94,2.0,27.4,0.2548,6.982,6.982,1.0,,Y
裕莲茶楼(金华世贸城市广场店),裕莲茶楼,金华世贸城市广场,68,1.5,29.8,0.2045,6.094,6.982,0.8727,,Y
霸王茶姬(金华世贸城市广场店),霸王茶姬,Zhouz周周服装店步行街店,85,2.0,27.2,0.2939,7.995,7.995,,,
茉莉奶白(金华世贸城市广场店),茉莉奶白,金华世贸城市广场,0,1.5,28.6,0.2521,7.209,6.982,1.0325,,Y
茉酸奶(金华世贸广场店),茉酸奶,金华世贸城市广场,6,1.6,29.0,0.1249,3.621,6.982,0.5186,,Y
CoCo都可(世贸广场店),CoCo,金华世贸城市广场,97,1.8,27.4,0.2436,6.674,6.982,0.9559,,Y
奈雪的茶(金华世贸城市广场店),奈雪,金华兰溪街商业步行街,50,1.8,30.2,0.2404,7.26,7.26,1.0,,Y
煲珠公·老红糖珍珠奶茶(金华世贸店),煲珠公,金华世贸城市广场,89,1.4,28.0,0.1822,5.102,6.982,0.7307,,Y
周四晚·不止碰到茶(金华世贸城市广场店),周四晚,金华兰溪街商业步行街,59,1.6,31.0,0.3264,10.12,7.26,1.3939,,Y
LINLEE·手打柠檬茶(婺城世贸广场店),LINLEE,金华世贸城市广场,0,1.5,28.6,0.2521,7.209,6.982,1.0325,,Y
古茗(金华世贸广场四楼),古茗,金华世贸城市广场,0,2.2,28.6,0.3308,9.461,6.982,1.3549,,Y
蜜雪冰城(金华世贸城市广场店),蜜雪冰城,Zhouz周周服装店步行街店,100,2.5,20.2,0.4444,8.977,7.995,,,
古茗(婺城世贸城市广场店),古茗,金华兰溪街商业步行街,73,2.2,31.0,0.2881,8.932,7.26,1.2303,,Y
沪上阿姨·精选茶饮(金华婺城世贸城市广场店),沪上阿姨,金华世贸城市广场,0,1.8,28.6,0.288,8.236,6.982,1.1795,,Y
1点点(金华世贸广场店),一点点,金华兰溪街商业步行街,67,1.6,31.0,0.2122,6.579,7.26,0.9062,,Y
蜜雪冰城(江南银泰店),蜜雪冰城,银泰仓,57,2.5,28.2,0.3304,9.318,8.106,,,
霸王茶姬(浙江金华之心店),霸王茶姬,银泰百货(金华之心店),50,2.0,8.2,0.7829,6.419,7.04,,,
古茗(婺城世贸城市广场店),古茗,Zhouz周周服装店步行街店,98,2.2,20.2,0.3922,7.922,7.995,,,
沪上阿姨鲜果茶(金华婺城兰溪步行街店),沪上阿姨,银泰仓,56,1.8,27.4,0.251,6.878,8.106,,,
奈雪的茶(金华之心店),奈雪,银泰百货(金华之心店),108,1.8,9.0,0.8512,7.661,7.04,,,
古茗(婺城江南银泰仓店),古茗,银泰仓,55,2.2,28.2,0.2874,8.106,8.106,,,
蜜雪冰城(金华商城店),蜜雪冰城,金华商城,175,2.5,19.6,0.8035,15.749,15.749,,,
古茗(婺城宾虹路店),古茗,金华第一百货(江南店),634,2.2,20.0,0.9226,18.452,18.452,,,
蜜雪冰城(十五中24h店),蜜雪冰城,大马家具大商场,452,2.5,25.0,0.8137,20.342,15.836,,,
古茗(永康街店),古茗,大马家具大商场,564,2.2,17.6,0.8325,14.653,15.836,,,
沪上阿姨·精选茶饮(三路口店),沪上阿姨,健康未来商城,242,1.8,19.4,0.4756,9.227,10.112,0.9125,,Y
蜜雪冰城(永康街店),蜜雪冰城,大马家具大商场,506,2.5,18.4,0.8607,15.836,15.836,,,
茶百道(金华东莱路店),茶百道,古子城步行街夜市,499,1.8,16.2,0.5878,9.522,10.658,,,
CoCo都可(金帆街店),CoCo,健康未来商城,260,1.8,23.4,0.5088,11.906,10.112,1.1775,,Y
古茗(婺城新世纪花园店),古茗,金笑商场(金华国贸大厦店),508,2.2,16.8,0.8625,14.489,13.668,,,
1点点(金华三路口店),一点点,健康未来商城,268,1.6,19.6,0.4384,8.593,10.112,0.8498,,Y
蜜雪冰城,蜜雪冰城,金笑商场(金华国贸大厦店),608,2.5,14.4,0.8921,12.846,13.668,,,
LINLEE·手打柠檬茶(金磐路店),LINLEE,健康未来商城,269,1.5,13.4,0.7546,10.112,10.112,1.0,,Y
古茗(八一南街五中店),古茗,金发广场,359,2.2,17.4,0.9768,16.997,16.997,,,
蜜雪冰城(大润发店),蜜雪冰城,健康未来商城,241,2.5,21.2,0.5746,12.182,10.112,1.2048,,Y
古茗(婺城东莱路店),古茗,古子城步行街夜市,504,2.2,15.2,0.7012,10.658,10.658,,,
霸王茶姬(婺城永盛购物广场店),霸王茶姬,永盛购物中心,9,2.0,10.6,0.1652,1.751,1.726,1.0144,,Y
蜜雪冰城(泰园街店),蜜雪冰城,商城花店,537,2.5,15.2,0.842,12.798,12.798,,,
茉莉奶白(金华永盛购物广场店),茉莉奶白,永盛购物中心,13,1.5,10.6,0.1325,1.405,1.726,0.814,,Y
古茗(婺城区中村店),古茗,金发颐高数码商场,706,2.2,16.0,0.5941,9.505,9.979,,,
喜茶(金华永盛店),喜茶,永盛购物中心,15,2.0,10.6,0.1605,1.701,1.726,0.9856,,Y
蜜雪冰城(明伦街店),蜜雪冰城,金发颐高数码商场,705,2.5,16.0,0.6533,10.453,9.979,,,
古茗(婺城兰溪街店),古茗,逸品食品商场(保集半岛店),217,2.2,8.2,0.9298,7.624,6.647,,,
蜜雪冰城(和信路店),蜜雪冰城,逸品食品商场(保集半岛店),117,2.5,6.0,0.9448,5.669,6.647,,,
蜜雪冰城(东莱路店),蜜雪冰城,古子城步行街夜市,541,2.5,16.8,0.7843,13.176,10.658,,,
爷爷不泡茶NOYEYENOTEA(金华永盛店),爷爷不泡茶,永盛购物中心,22,2.0,10.6,0.1962,2.079,1.726,1.2049,,Y
蜜雪冰城,蜜雪冰城,银泰广场,89,2.5,8.4,0.9817,8.247,8.247,,,
李若桃·手作酸奶铺(金华永盛店),李若桃,西市街商业步行街,45,1.4,10.6,0.1439,1.525,1.525,,,
古茗(婺城下马滩新区店),古茗,镇左购物中心,240,2.2,5.8,0.8773,5.088,5.531,,,
煲珠公·老红糖珍珠奶茶(金华永盛店),煲珠公,永盛购物中心,4,1.4,10.6,0.1145,1.213,1.726,0.703,,Y
蜜雪冰城(下马滩店),蜜雪冰城,镇左购物中心,217,2.5,8.2,0.7286,5.974,5.531,,,
春莱·老挝冰咖啡·泰式奶茶(世贸店)(暂停营业),春莱,金华兰溪街商业步行街,82,1.4,31.0,0.2034,6.306,7.26,0.8686,,Y
古茗(永盛购物广场三楼店),古茗,西市街商业步行街,15,2.2,10.6,0.1997,2.117,1.525,,,
1点点(金华永盛广场店),一点点,西市街商业步行街,20,1.6,10.6,0.1416,1.501,1.525,,,
蜜雪冰城(恒大百货店),蜜雪冰城,恒大百货,52,2.5,10.6,0.3372,3.574,3.029,,,
蜜雪冰城(第一百货店),蜜雪冰城,金华永盛购物中心B馆,52,2.5,9.8,0.3814,3.738,4.258,,,
古茗(婺城区恒大百货店),古茗,恒大百货,39,2.2,10.6,0.2857,3.029,3.029,,,
CoCo都可(恒大步行街店),CoCo,恒大百货,39,1.8,9.8,0.2846,2.789,3.029,,,
奈雪的茶(金华世贸购物中心店),奈雪,帝壹城,135,1.8,10.6,0.5452,5.779,5.779,,,
古茗(婺城江北夜市店),古茗,金华永盛购物中心B馆,72,2.2,9.8,0.4876,4.778,4.258,,,
古茗(婺城解放西路店),古茗,万邦自选商场(常平路店),493,2.2,5.8,0.8542,4.954,4.954,,,
蜜雪冰城,蜜雪冰城,永盛购物中心,12,2.5,10.6,0.2015,2.135,1.726,1.2374,,Y
CHAGEE霸王茶姬(浙江金华万达广场店),霸王茶姬,万达广场(金华金东店),108,2.0,23.8,0.4453,10.598,6.217,1.7048,,Y
爷爷不泡茶NOYEYENOTEA(金华金东万达店),爷爷不泡茶,万达广场(金华金东店),131,2.0,23.6,0.4558,10.758,6.217,1.7305,,Y
1点点(金华万达广场店),一点点,万达广场(金华金东店),43,1.6,25.4,0.1975,5.016,6.217,0.8069,,Y
喜茶(金华万达广场店),喜茶,万达广场(金华金东店),44,2.0,24.6,0.2478,6.095,6.217,0.9804,,Y
CHAGEE霸王茶姬(金开·和悦邻里中心店),霸王茶姬,金开·和悦邻里,32,2.0,1.0,0.6978,0.698,0.698,,,
茶百道(金华万达店),茶百道,万达广场(金华金东店),62,1.8,25.4,0.228,5.791,6.217,0.9315,,Y
古茗(金华万达城市店),古茗,万达广场(金华金东店),40,2.2,25.4,0.2483,6.306,6.217,1.0143,,Y
CoCo都可(金华万达广场店),CoCo,万达广场(金华金东店),48,1.8,25.4,0.223,5.664,6.217,0.9111,,Y
LINLEE·手打柠檬茶(金东万达金街店),LINLEE,万达广场(金华店)-东区,63,1.5,24.6,0.3827,9.414,8.446,,,
蜜雪冰城(金华金东万达广场店),蜜雪冰城,万达广场(金华金东店),77,2.5,25.4,0.321,8.153,6.217,1.3115,,Y
蜜雪冰城(龙川路店),蜜雪冰城,金开·和悦邻里,538,2.5,0.8,0.8456,0.676,0.698,,Y,
古茗(婺城和悦邻里店),古茗,金开·和悦邻里,2,2.2,1.0,0.7357,0.736,0.698,,,
古茗(婺城博联东路店),古茗,新动力鞋服商场,13,2.2,0.2,0.6794,0.136,0.527,,,
古茗(金华火车站美食广场店),古茗,金华太阳城建材市场,451,2.2,1.8,0.5366,0.966,0.781,,,
古茗(金东万达三楼店),古茗,万达广场(金华金东店),34,2.2,25.4,0.2447,6.217,6.217,1.0,,Y
蜜雪冰城(秋滨店),蜜雪冰城,新动力鞋服商场,571,2.5,1.6,0.9679,1.549,0.527,,Y,
古茗(婺城缤纷名座店),古茗,缤纷名座,25,2.2,2.6,0.8153,2.12,1.826,,Y,
瑞幸咖啡(金华秋滨店),瑞幸,新动力鞋服商场,342,2.2,1.0,0.9079,0.908,0.527,,Y,
蜜雪冰城(湖海城市花园店),蜜雪冰城,缤纷名座,87,2.5,1.8,0.8508,1.531,1.826,,Y,
快乐番薯(金华婺城东方巴黎店),快乐番薯,银泰百货A馆,499,1.4,2.6,0.9859,2.563,2.563,,Y,
CHAGEE霸王茶姬(浙江金华望湖领悦广场店),霸王茶姬,金华望湖领悦广场,166,2.0,0.2,0.6799,0.136,0.116,1.1725,,Y
沪上阿姨·精选茶饮(金华金东万达店),沪上阿姨,万达广场(金华店)-东区,74,1.8,25.4,0.2944,7.477,8.446,,,
爷爷不泡茶NOYEYENOTEA(金华望湖领悦广场),爷爷不泡茶,金华望湖领悦广场,31,2.0,0.2,0.5142,0.103,0.116,0.8868,,Y
古茗(金华万达微笑市集),古茗,万达广场(金华金东店),8,2.2,25.4,0.2764,7.019,6.217,1.1291,,Y
蜜雪冰城(金华站24h店),蜜雪冰城,金华太阳城建材市场,429,2.5,1.0,0.5965,0.597,0.781,,,
古茗(金华望湖领悦广场),古茗,金华望湖领悦广场,146,2.2,0.2,0.6975,0.139,0.116,1.2029,,Y
瑞幸咖啡(金华望湖领悦广场店),瑞幸,金华望湖领悦广场,25,2.2,0.2,0.5532,0.111,0.116,0.9541,,Y
蜜雪冰城(世纪如海广场店),蜜雪冰城,新动力鞋服商场,21,2.5,0.2,0.7325,0.147,0.527,,,
1点点,一点点,金华望湖领悦广场,56,1.6,0.2,0.6065,0.121,0.116,1.0459,,Y
LINLEE林里·手打柠檬茶(金华望湖领悦广场店),LINLEE,金华望湖领悦广场,607,1.5,0.0,1.0,0.0,0.116,,Y,
CHAGEE霸王茶姬(浙江金华金东紫金城店),霸王茶姬,涵碧·紫金城购物中心,107,2.0,2.6,0.9259,2.407,2.237,,Y,
沪上阿姨鲜果茶(金华金东紫金城店),沪上阿姨,涵碧·紫金城购物中心,57,1.8,2.6,0.7952,2.068,2.237,,,
裕莲茶楼(义乌天地店),裕莲茶楼,义乌天地,84,1.5,3.4,0.5784,1.967,2.639,,,
tankoko泰柯茶园,Tamkoko泰柯茶园,义乌之心,0,1.2,4.0,0.3169,1.267,1.53,,,
沪上阿姨·精选茶饮(金华义乌杨村店),沪上阿姨,zhio菲凡百货商城,20,1.8,5.6,0.9641,5.399,5.399,,,
麦记牛奶(义乌天地店),麦记牛奶,义乌天地,141,1.4,4.0,0.6934,2.774,2.639,,,
茉莉奶白(义乌天地店),茉莉奶白,义乌天地,136,1.5,4.2,0.6284,2.639,2.639,,,
麦记牛奶(横店万盛南街店),麦记牛奶,禹阳路精品商业街,47,1.4,6.8,0.4735,3.22,3.711,,,
古茗(义乌数贸中心店),古茗,SadCity疯狂购物城,107,2.2,1.2,1.0,1.2,1.2,,Y,
茶百道(万盛南街店),茶百道,横店美食街(横店商业步行街店),205,1.8,1.2,0.8563,1.028,2.607,,Y,
茶百道(金华义乌宾王店),茶百道,赵宅商业街,560,1.8,2.4,0.5636,1.353,1.422,,,
古茗(义乌宾王文创园),古茗,赵宅商业街,633,2.2,1.6,0.9094,1.455,1.422,,Y,
爷爷不泡茶,爷爷不泡茶,义乌商城(银海国际商务中心店),313,2.0,7.0,0.9189,6.432,4.957,,,
古茗(新光太平洋店),古茗,见大未来天地,95,2.2,2.0,0.8646,1.729,1.729,,Y,
LINLEE·手打柠檬茶(义乌万达店),LINLEE,万达广场(金华义乌店),119,1.5,9.0,0.558,5.022,5.134,0.9782,,Y
奈雪的茶(永康宝龙广场店),奈雪,永康宝龙广场,53,1.8,7.8,0.958,7.472,7.472,,,
古茗(横店万盛南街店),古茗,横店美食街(横店商业步行街店),73,2.2,4.4,0.8037,3.536,2.607,1.3565,,Y
古茗(义乌三挺路店),古茗,赵宅商业街,541,2.2,2.4,0.5927,1.422,1.422,,,
蜜雪冰城(义乌绿地朝阳门店),蜜雪冰城,义乌心潮里地下商业街,71,2.5,3.8,0.7678,2.917,2.917,,,
CoCo都可(义乌吾悦广场店),CoCo,吾悦广场(义乌店),101,1.8,4.4,0.6329,2.785,2.785,,,
CoCo都可(义乌万达店),CoCo,万达广场(金华义乌店),37,1.8,9.8,0.5239,5.134,5.134,1.0,,Y
古茗(义乌之心店),古茗,银泰百货(义乌店),213,2.2,3.8,0.4529,1.721,1.832,,,
古茗(兰溪宝龙店),古茗,兰溪宝龙广场,159,2.2,1.2,0.9368,1.124,1.198,,Y,
古茗(义乌长春店),古茗,商城·福田印象,488,2.2,6.6,0.7225,4.768,4.928,,,
LINLEE·手打柠檬茶(义乌之心店),LINLEE,义乌之心,14,1.5,4.0,0.4095,1.638,1.53,,,
古茗(横店花厅夜市店),古茗,禹阳路精品商业街,42,2.2,6.8,0.7181,4.883,3.711,,,
蜜雪冰城(浙江师范大学店),蜜雪冰城,浙江师范大学校内商业街,5,2.5,14.6,0.9053,13.217,11.63,,,
蜜雪冰城(义乌万达广场1-115号十足隔壁),蜜雪冰城,万达广场(金华义乌店),119,2.5,11.4,0.7248,8.263,5.134,1.6095,,Y
茶百道(金华义乌贝村路店),茶百道,好乐购商场,379,1.8,9.0,1.0,9.0,9.0,,,
古茗(永康夏溪夜市店),古茗,客乐多购物广场(曹园店),187,2.2,2.0,1.0,2.0,2.0,,Y,
古茗(横店京辰里店),古茗,京辰里商业街,108,2.2,7.6,0.6896,5.241,5.884,,,
麦记牛奶(义乌之心店),麦记牛奶,义乌之心,14,1.4,4.0,0.3824,1.53,1.53,,,
蜜雪冰城,蜜雪冰城,义乌青口宝龙广场,237,2.5,4.2,0.679,2.852,3.239,,,
春莱(春莱·泰式奶茶·老挝冰咖啡(横店店)),春莱,京辰里商业街,401,1.4,6.8,0.9598,6.527,5.884,,,
LINLEE·手打柠檬茶(永康溪中东路店),LINLEE,众策机电灯饰家私商场,440,1.5,0.2,0.732,0.146,0.158,,,
CoCo都可茶饮(东阳横店万盛街店),CoCo,禹阳路精品商业街,73,1.8,6.0,0.6891,4.135,3.711,,,
蜜雪冰城(吾悦广场店),蜜雪冰城,吾悦广场(义乌店),162,2.5,4.6,0.8295,3.816,2.785,,,
茶百道(义乌工商学院店),茶百道,五爱库存专业街,313,1.8,12.2,0.5409,6.599,7.189,,,
古茗(婺城万泰奥莱店),古茗,万泰·公园大道奥特莱斯,109,2.2,1.8,0.8882,1.599,1.599,,Y,
古茗(青口夜市店),古茗,义乌青口宝龙广场,248,2.2,4.2,0.5922,2.487,3.239,,,
古茗(义乌杨村店),古茗,德欣商业街D区,208,2.2,6.4,0.9832,6.292,6.292,,,
LINLEE·手打柠檬茶(义乌朝阳门店),LINLEE,绿地朝阳门商业中心,90,1.5,3.6,0.3796,1.366,1.499,,,
古茗(东阳江北之芯店),古茗,江北之芯商业街,29,2.2,4.2,1.0,4.2,2.9,,,
LINLEE·手打柠檬茶(义乌新光汇购物中心店),LINLEE,新光汇购物中心,1,1.5,12.4,0.6323,7.841,8.135,,,
1点点(SOHO·万达公寓B座店),一点点,万达广场(金华义乌店),53,1.6,9.8,0.4675,4.581,5.134,0.8924,,Y
古茗(义乌后宅店),古茗,义乌购物广场,88,2.2,3.4,1.0,3.4,3.4,,,
1点点(苏溪幸运路28号1楼店面),一点点,1718步行街,52,1.6,2.4,0.9635,2.312,2.312,,Y,
蜜雪冰城(佛堂古镇店),蜜雪冰城,新世纪服装商场(新世纪大厦店),86,2.5,1.6,1.0,1.6,1.6,,Y,
古茗(浦江黄宅新华店),古茗,女人街,157,2.2,0.4,1.0,0.4,0.4,,Y,
蜜雪冰城(工人西路店),蜜雪冰城,银泰百货(义乌店),219,2.5,3.8,0.5149,1.957,1.832,,,
古茗(青口北区店),古茗,义乌青口宝龙广场,305,2.2,5.0,0.808,4.04,3.239,,,
茶百道(义乌诚信二区店),茶百道,诚信欧亚风情街,462,1.8,1.8,0.9948,1.791,1.791,,Y,
古茗(婺城通江路店),古茗,丽华百货商场(工业街店),192,2.2,1.2,1.0,1.2,1.2,,Y,
古茗(婺城浙师大店),古茗,浙江师范大学校内商业街,93,2.2,11.4,0.881,10.043,11.63,,,
煲珠公·老红糖珍珠奶茶(新光汇店),煲珠公,新光汇购物中心,51,1.4,12.4,0.6798,8.43,8.135,,,
茶百道(金华义乌南城广场店),茶百道,杨村德欣商业街,258,1.8,6.4,0.9752,6.241,6.241,,,
古茗(浦江廿亩山店),古茗,欧乐家鞋服商场,61,2.2,1.0,1.0,1.0,1.0,,Y,
麦记牛奶(义乌万达店),麦记牛奶,万达广场(金华义乌店),76,1.4,5.8,0.6309,3.659,5.134,0.7128,,Y
LINLEE·手打柠檬茶(东阳亭塘店),LINLEE,江北之芯商业街,571,1.5,1.6,1.0,1.6,2.9,,Y,
古茗(东阳人民路店),古茗,金华第一百货(东阳店),95,2.2,1.4,0.9665,1.353,1.353,,Y,
蜜雪冰城国际商贸城店,蜜雪冰城,商城·福田印象,468,2.5,6.6,0.7707,5.087,4.928,,,
麦记牛奶(金华金东区万达店),麦记牛奶,万达广场(金华金东店),27,1.4,24.6,0.2033,5.002,6.217,0.8046,,Y
古茗(横店步行街店),古茗,横店美食街(横店商业步行街店),219,2.2,3.8,0.5762,2.189,2.607,0.8399,,Y
古茗(义乌义亭镇店),古茗,义亭之心,339,2.2,1.0,1.0,1.0,1.0,,Y,
古茗(金华义乌银海店),古茗,义乌商城(银海国际商务中心店),235,2.2,7.6,0.5925,4.503,4.957,,,
蜜雪冰城(苏杭情·新天地店),蜜雪冰城,北城之心,61,2.5,3.0,1.0,3.0,3.5,,,
麦记牛奶(兰溪宝龙广场店),麦记牛奶,兰溪宝龙广场,78,1.4,1.4,0.9086,1.272,1.198,,Y,
蜜雪冰城(银海店),蜜雪冰城,义乌商城(银海国际商务中心店),237,2.5,7.6,0.6522,4.957,4.957,,,
古茗(义乌绣湖里店),古茗,绣湖里商业中心,150,2.2,2.0,1.0,2.0,2.0,,Y,
CoCo都可(好乐多店),CoCo,好乐多(广场店),0,1.8,3.2,0.9645,3.087,3.087,,,
蜜雪冰城春晗店,蜜雪冰城,义乌鸿翔万体广场,412,2.5,2.6,0.7518,1.955,1.955,,,
古茗(义乌市青岩刘店),古茗,义乌江东广场,977,2.2,4.0,1.0,4.0,4.0,,,
古茗(义乌吾悦4楼店),古茗,吾悦广场(义乌店),92,2.2,3.6,0.7405,2.666,2.785,,,
古茗(金华义乌春晗店),古茗,义乌鸿翔万体广场,574,2.2,2.4,0.8895,2.135,1.955,,Y,
古茗(义乌下门一区店),古茗,万达广场(金华义乌店),612,2.2,10.4,0.9718,10.107,5.134,1.9686,,Y
古茗(东阳四合店),古茗,欧乐福购物中心(济慈路店),266,2.2,2.6,1.0,2.6,2.6,,Y,
沪上阿姨·精选茶饮(金华义乌春晗店),沪上阿姨,义乌鸿翔万体广场,441,1.8,2.6,0.6121,1.591,1.955,,,
古茗(东阳南马镇店),古茗,爱家鞋服商场(南马店),86,2.2,0.4,1.0,0.4,0.4,,Y,
麦记牛奶(金华永康万达店),麦记牛奶,万达广场(永康店),20,1.4,1.0,1.0,1.0,1.0,,Y,
古茗(东阳六石大兴南街店),古茗,世纪如海购物广场(六石店),196,2.2,1.8,1.0,1.8,1.8,,Y,
煲珠公·老红糖珍珠奶茶(义乌之心店),煲珠公,银泰百货(义乌店),154,1.4,4.0,0.458,1.832,1.832,,,
蜜雪冰城(夜市步行街24h店),蜜雪冰城,兴苏路商业街,330,2.5,2.0,0.9947,1.989,1.989,,Y,
LINLEE·手打柠檬茶(义乌青口店),LINLEE,义乌青口宝龙广场,451,1.5,4.2,0.8633,3.626,3.239,,,
古茗(永康之芯店),古茗,永康之芯城市购物广场,68,2.2,0.2,1.0,0.2,0.2,,Y,
古茗(兰溪游埠大街路店),古茗,游埠古街,34,2.2,0.2,1.0,0.2,0.2,,Y,
古茗(义乌工商学院校外店),古茗,五爱库存专业街,303,2.2,12.2,0.6377,7.78,7.189,,,
蜜雪冰城(万盛一店),蜜雪冰城,横店美食街(横店商业步行街店),189,2.5,4.6,0.6202,2.853,2.607,1.0943,,Y
LINLEE·手打柠檬茶(东阳横店万盛店),LINLEE,禹阳路精品商业街,68,1.5,6.8,0.4836,3.288,3.711,,,
沪上阿姨·精选茶饮(金华义乌城店路店),沪上阿姨,万达广场(金华义乌店),556,1.8,10.4,0.9175,9.542,5.134,1.8586,,Y
古茗(兰溪中央广场店),古茗,兰溪中央广场,125,2.2,1.4,1.0,1.4,1.4,,Y,
古茗(浦江中山南路店),古茗,恒昌·财富广场,744,2.2,0.0,1.0,0.0,0.0,,Y,
古茗(横店度假村店),古茗,横店美食街(横店商业步行街店),355,2.2,2.8,0.931,2.607,2.607,,Y,
